from_2022,A,B,C,F,H,I,M,O,V,Æ,Ø,Å,Andre
A,0.6832,0.0297,0.0198,0.1089,0.0099,0.0198,0.0198,0.0396,0.0297,0.0198,0.0198,0.0,0.0
V,0.04,0.02,0.09,0.01,0.01,0.13,0.07,0.05,0.49,0.09,0.0,0.0,0.0
F,0.0891,0.0396,0.0099,0.7327,0.0,0.0099,0.0099,0.0198,0.0099,0.0099,0.0495,0.0198,0.0
I,0.0098,0.0196,0.0784,0.0196,0.0196,0.6863,0.0294,0.0392,0.0784,0.0,0.0098,0.0098,0.0
M,0.1,0.07,0.08,0.05,0.01,0.1,0.43,0.04,0.09,0.02,0.01,0.0,0.0
AE,0.0303,0.0,0.0202,0.0101,0.0303,0.0606,0.0,0.1717,0.0505,0.6263,0.0,0.0,0.0
C,0.02,0.02,0.55,0.02,0.01,0.18,0.03,0.04,0.1,0.03,0.0,0.0,0.0
OE,0.02,0.03,0.0,0.11,0.0,0.01,0.02,0.01,0.0,0.0,0.74,0.06,0.0
O,0.0202,0.0,0.0303,0.0202,0.0808,0.0707,0.0101,0.6566,0.0101,0.101,0.0,0.0,0.0
B,0.09,0.63,0.02,0.12,0.0,0.02,0.05,0.0,0.01,0.01,0.04,0.01,0.0
AA,0.06,0.14,0.01,0.18,0.0,0.02,0.01,0.0,0.01,0.0,0.2,0.37,0.0
D,0.0,0.02,0.06,0.0,0.4,0.11,0.0,0.27,0.0,0.12,0.02,0.0,0.0
K,0.11,0.13,0.33,0.14,0.05,0.09,0.0,0.03,0.06,0.05,0.0,0.0,0.01
Q,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.14,0.0
Andre,0.1188,0.1089,0.1188,0.0,0.2673,0.1089,0.0,0.1089,0.0,0.1089,0.0,0.0,0.0594
